model,accuracy,precision,recall,f1,roc_auc,fit_seconds
Random Forest,0.9475,0.9447678546074116,0.9505714285714286,0.9476607562486649,0.9909235510204082,19.93441400001757
Logistic Regression,0.9164285714285715,0.9032927504150525,0.9327142857142857,0.9177677818386281,0.9769422857142858,4.016058584034909
